date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-01,202153,0.024,CZ,CNE全球优先,,优先_OCZGLS,优先_OCZGLS,,23.052,,定制手机壳,K8,WISH,903488473405,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.324,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,42.702,,化纤女士塑腰带,K8,WISH,T00D7A0095880137,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.042,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,18.591,,手机壳,K8,WISH,T00D7A0095428216,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.012,HU,CNE全球特惠,,特惠_OHUDPD,特惠_OHUDPD,,21.032,,合金吊坠,K8,WISH,3A5V597670371,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.066,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,20.643,,手动刮毛器,K8,WISH,T00D7A0095912869,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.017,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,17.598,,不锈钢手链,K8,WISH,3A5V596928910,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.038,SE,CNE全球特惠,,特惠_EUDHL,特惠_EUDHL,,19.572,,袜子,W,WISH,3A5V597693754,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.243,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,35.7765,,橡胶玩具,K8,WISH,T00D7A0095878308,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.196,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,31.758,,手动刮毛器,K8,WISH,T00D7A0095913025,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.095,HU,CNE全球特惠,,特惠_OHUDPD,特惠_OHUDPD,,28.17,,定制手机壳,K8,WISH,3A5V597693760,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.022,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,16.881,,鼻毛夹,K8,WISH,T00D7A0095598671,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.098,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,25.212,,桌面摆件,K8,WISH,3A5V597852551,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.073,SE,CNE全球特惠,,特惠_EUDHL,特惠_EUDHL,,22.862,,袜子,K8,WISH,3A5V597693756,CNY,"(0.0, 0.34]",0-0.34KG
2022-01-01,202153,0.072,SE,CNE全球特惠,,特惠_EUDHL,特惠_EUDHL,,22.768,,袜子,K8,WISH,3A5V597693757,CNY,"(0.0, 0.34]",0-0.34KG
